grower_id,season,activity,concentration_mg/kg,body_weight_kg,hours_per_month_by_activity,si_by_activity_min_mg/hour,si_by_activity_max_mg/hour,si_by_activity_mg/hour,si_indoor_mg/hour,ef_method_3_outdoor,avg_daily_dose_method_3_outdoor
8,Summer,Weeding,400.0,70.2,2.0,81.45,99.55000000000001,90.5,1.375,0.002736726874657909,3.386991892739019e-05
9,Spring,Harvesting,400.0,84.0,2.0,13.575,31.674999999999997,22.625,1.375,0.002736726874657909,7.076393775901166e-06
9,Spring,Preparing beds,400.0,84.0,5.0,36.2,54.3,45.25,1.375,0.0068418171866447735,3.538196887950583e-05
9,Spring,Seeding,400.0,84.0,2.0,36.2,54.3,45.25,1.375,0.002736726874657909,1.4152787551802331e-05
9,Spring,Transplanting,400.0,84.0,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
9,Spring,Watering,400.0,84.0,4.0,13.575,31.674999999999997,22.625,1.375,0.005473453749315818,1.4152787551802331e-05
9,Spring,Weeding,400.0,84.0,4.0,81.45,99.55000000000001,90.5,1.375,0.005473453749315818,5.6611150207209325e-05
9,Summer,Harvesting,400.0,84.0,4.0,13.575,31.674999999999997,22.625,1.375,0.005473453749315818,1.4152787551802331e-05
9,Summer,Preparing beds,400.0,84.0,2.5,36.2,54.3,45.25,1.375,0.0034209085933223867,1.7690984439752916e-05
9,Summer,Seeding,400.0,84.0,2.0,36.2,54.3,45.25,1.375,0.002736726874657909,1.4152787551802331e-05
9,Summer,Transplanting,400.0,84.0,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
9,Summer,Watering,400.0,84.0,2.0,13.575,31.674999999999997,22.625,1.375,0.002736726874657909,7.076393775901166e-06
9,Summer,Weeding,400.0,84.0,6.0,81.45,99.55000000000001,90.5,1.375,0.008210180623973728,8.491672531081397e-05
9,Fall,Harvesting,400.0,84.0,0.25,13.575,31.674999999999997,22.625,1.375,0.00034209085933223864,8.845492219876457e-07
9,Fall,Preparing beds,400.0,84.0,0.0,36.2,54.3,45.25,1.375,0.0,0.0
9,Fall,Seeding,400.0,84.0,0.0,36.2,54.3,45.25,1.375,0.0,0.0
9,Fall,Transplanting,400.0,84.0,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
9,Fall,Watering,400.0,84.0,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
9,Fall,Weeding,400.0,84.0,3.0,81.45,99.55000000000001,90.5,1.375,0.004105090311986864,4.2458362655406985e-05
9,Winter,Harvesting,400.0,84.0,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
9,Winter,Preparing beds,400.0,84.0,0.0,36.2,54.3,45.25,1.375,0.0,0.0
9,Winter,Seeding,400.0,84.0,0.0,36.2,54.3,45.25,1.375,0.0,0.0
9,Winter,Transplanting,400.0,84.0,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
9,Winter,Watering,400.0,84.0,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
9,Winter,Weeding,400.0,84.0,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
10,Spring,Harvesting,400.0,73.9,5.0,13.575,31.674999999999997,22.625,1.375,0.0068418171866447735,2.0108832110138627e-05
10,Spring,Preparing beds,400.0,73.9,7.5,36.2,54.3,45.25,1.375,0.01026272577996716,6.032649633041589e-05
10,Spring,Seeding,400.0,73.9,1.5,36.2,54.3,45.25,1.375,0.002052545155993432,1.2065299266083174e-05
10,Spring,Transplanting,400.0,73.9,1.5,81.45,99.55000000000001,90.5,1.375,0.002052545155993432,2.413059853216635e-05
10,Spring,Watering,400.0,73.9,12.0,13.575,31.674999999999997,22.625,1.375,0.016420361247947456,4.82611970643327e-05
10,Spring,Weeding,400.0,73.9,3.5,81.45,99.55000000000001,90.5,1.375,0.0047892720306513415,5.630472990838817e-05
10,Summer,Harvesting,400.0,73.9,0.75,13.575,31.674999999999997,22.625,1.375,0.001026272577996716,3.0163248165207936e-06
10,Summer,Preparing beds,400.0,73.9,2.0,36.2,54.3,45.25,1.375,0.002736726874657909,1.6087065688110903e-05
10,Summer,Seeding,400.0,73.9,1.0,36.2,54.3,45.25,1.375,0.0013683634373289546,8.043532844055451e-06
10,Summer,Transplanting,400.0,73.9,0.5,81.45,99.55000000000001,90.5,1.375,0.0006841817186644773,8.043532844055451e-06
10,Summer,Watering,400.0,73.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
10,Summer,Weeding,400.0,73.9,6.25,81.45,99.55000000000001,90.5,1.375,0.008552271483305967,0.00010054416055069315
10,Fall,Harvesting,400.0,73.9,7.5,13.575,31.674999999999997,22.625,1.375,0.01026272577996716,3.0163248165207946e-05
10,Fall,Preparing beds,400.0,73.9,7.5,36.2,54.3,45.25,1.375,0.01026272577996716,6.032649633041589e-05
10,Fall,Seeding,400.0,73.9,1.5,36.2,54.3,45.25,1.375,0.002052545155993432,1.2065299266083174e-05
10,Fall,Transplanting,400.0,73.9,1.5,81.45,99.55000000000001,90.5,1.375,0.002052545155993432,2.413059853216635e-05
10,Fall,Watering,400.0,73.9,15.0,13.575,31.674999999999997,22.625,1.375,0.02052545155993432,6.032649633041589e-05
10,Fall,Weeding,400.0,73.9,3.0,81.45,99.55000000000001,90.5,1.375,0.004105090311986864,4.82611970643327e-05
10,Winter,Harvesting,400.0,73.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
10,Winter,Preparing beds,400.0,73.9,1.0,36.2,54.3,45.25,1.375,0.0013683634373289546,8.043532844055451e-06
10,Winter,Seeding,400.0,73.9,0.0,36.2,54.3,45.25,1.375,0.0,0.0
10,Winter,Transplanting,400.0,73.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
10,Winter,Watering,400.0,73.9,2.5,13.575,31.674999999999997,22.625,1.375,0.0034209085933223867,1.0054416055069314e-05
10,Winter,Weeding,400.0,73.9,0.5,81.45,99.55000000000001,90.5,1.375,0.0006841817186644773,8.043532844055451e-06
11,Spring,Harvesting,400.0,70.2,4.0,13.575,31.674999999999997,22.625,1.375,0.005473453749315818,1.6934959463695096e-05
11,Spring,Preparing beds,400.0,70.2,30.0,36.2,54.3,45.25,1.375,0.04105090311986864,0.0002540243919554265
11,Spring,Seeding,400.0,70.2,2.0,36.2,54.3,45.25,1.375,0.002736726874657909,1.6934959463695096e-05
11,Spring,Transplanting,400.0,70.2,6.0,81.45,99.55000000000001,90.5,1.375,0.008210180623973728,0.00010160975678217055
11,Spring,Watering,400.0,70.2,30.0,13.575,31.674999999999997,22.625,1.375,0.04105090311986864,0.00012701219597771325
